""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"3-D57AM"	44862	41244	40871	41040	37249	28910
"3-D57PM"	49001	45797	45487	45574	41056	31814
"3-D58AM"	59960	55606	55255	55456	50477	39028
"3-D58PM"	62853	58758	58338	58589	51840	39634
"3-D59AM"	54774	52541	52247	52442	47948	34593
"3-D59PM"	51160	49230	49003	49130	43665	35396
"3-D6"	98857	90288	89767	90008	79079	63626
"3-D60AM"	44760	41925	41690	41829	37670	29150
"3-D60PM"	50488	48405	48123	48311	44812	34885
"3-D61"	64467	60050	59690	59911	54566	42205
"3-D62"	68268	64483	64148	64321	58437	46588
"3-D63"	53281	50638	50290	50527	46782	34490
"3-D64AM"	44624	42649	42402	42576	38934	29965
"3-D64PM"	56462	53419	53158	53294	49008	39230
"3-D7"	74797	67424	67038	67143	57839	46969
"3-D8"	45798	42379	42292	42279	39196	33865
"3-D9"	68187	62266	61941	62091	56219	44280
"4-D0AM"	9134	8149	8074	8086	6434	6375
"4-D0PM"	15822	14220	14092	14108	12814	12605
"4-D10"	61267	56451	56035	56288	51011	39726
"4-D11"	65219	59910	59577	59713	54130	43358
"4-D14"	122832	108295	107799	107899	94657	74720
"4-D16"	103554	88287	88023	87875	77140	65493
"4-D18"	168687	157742	156552	157164	142906	108244
"4-D1AM"	58354	52478	52322	52197	45403	37303
"4-D1PM"	53296	45402	45318	45079	39160	33778
"4-D21AM"	149733	138129	137197	137735	124054	99296
"4-D21PM"	128407	116171	115280	115699	102854	84067
"4-D22AM"	59282	55360	54717	55129	50353	44027
"4-D22PM"	63272	58987	58493	58753	54666	49362
"4-D23AM"	72073	66580	65772	66272	60462	51843
"4-D23PM"	42284	39587	39139	39430	36245	32224
"4-D24"	45716	41430	40893	41214	37773	33190
"4-D25"	63419	59599	58914	59374	55404	48014
"4-D28AM"	58682	55391	54782	55138	50853	43778
"4-D29AM"	79150	73505	73172	73324	67542	55759
"4-D29PM"	92303	83275	82766	83000	72363	56498
"4-D2AM"	95527	86460	86146	86147	76701	62043
"4-D2PM"	84037	77130	76831	76848	70342	59571
"4-D30AM"	72236	65994	65856	65868	60524	51506
"4-D30PM"	51645	46771	46613	46636	42158	36415
"4-D31AM"	74889	69242	68714	69011	60878	45338
"4-D31PM"	88074	80922	80436	80678	72560	56591
"4-D32"	58589	53309	52932	53154	46537	36855
"4-D33"	90072	82861	82506	82642	73990	59172
"4-D35AM"	59747	55933	55610	55815	51015	40104
"4-D35PM"	72071	65877	65547	65754	58778	47031
"4-D36AM"	77409	69879	69434	69656	62324	48389
"4-D36PM"	84682	78306	77824	78050	71586	58141
"4-D37AM"	95029	84709	84506	84462	74484	63240
"4-D37PM"	83756	75031	74771	74750	66458	56511
"4-D38"	81327	69672	69383	69321	61788	53954
"4-D39"	81636	74130	73740	73960	68382	54567
"4-D3AM"	58681	51174	50911	50875	43381	36525
"4-D3PM"	64455	56987	56857	56663	49221	43673
"4-D42AM"	65790	58166	57962	57979	53958	43621
"4-D42PM"	66454	61768	61517	61593	55959	44045
"4-D43AM"	59560	54803	54591	54642	49697	40374
"4-D43PM"	77656	72581	72269	72412	65731	49087
"4-D44AM"	55950	52022	51936	51921	46549	37233
"4-D44PM"	69706	65393	65124	65215	58471	43304
"4-D45AM"	91845	86928	86786	86783	80541	65362
"4-D45PM"	88225	84484	84255	84357	79150	61908
"4-D46"	98775	93576	93230	93422	84606	66369
"4-D47"	92629	88851	88483	88682	82332	62845
"4-D4AM"	70690	62871	62728	62623	54644	46094
"4-D4PM"	63771	58793	58440	58610	53599	42734
"4-D5"	71127	65693	65197	65496	59265	46009
"4-D50AM"	84579	80292	79793	80112	72539	55276
"4-D50PM"	69678	65637	65292	65526	59130	45746
"4-D51AM"	73802	68943	68695	68795	62712	50771
"4-D51PM"	50805	47802	47589	47691	44569	37249
"4-D52AM"	54033	49972	49814	49865	44530	38604
"4-D52PM"	74237	69672	69429	69467	63726	54078
"4-D53"	86405	81340	81007	81164	74682	62733
"4-D54"	61701	57751	57361	57571	51730	40539
"4-D57AM"	68132	63868	63547	63659	57663	45156
